"CWPName","SourceID","CWPStreet","CWPCity","CWPState","RegistryID","SupOver80CountUsDisp","CWPBioInspCount","BioVioLastYearFlag","BioQtrsWithVio","CWPBioFeaCount"
" BIG WELLS, CITY OF WWTP","TX0104884","APRX 3800 FT SW OF FM 1867 AND US HWY 85","BIG WELLS","TX","110010131106","3",0,"N",0,0
" CITY OF DOMINO WWTP","TX0136123","1.25 MILES E INTX OF US HWY 59 AND FMR 3129","QUEEN CITY","TX","110064779299","4",0,"N",0,0
" CITY OF KOUNTZE WWTP","TX0095478","5000' E NE INTX  HWY 326 & HWY 69;APPROX .25M SE;","KOUNTZE","TX","110010922038","1",0,"N",0,0
" COAL CITY STP, VILLAGE OF","IL0028151","NORTH BROADWAY","COAL CITY","IL","110009988022","0",0,"N",0,0
" IOWA PARK WWTF","TX0052922","706 W CHESTNUT","IOWA PARK","TX","110001880386","0",0,"N",0,0
" LEO L. DUBOIS WPCF - BRIDGEWATER CORRECTION COMPLEX","MAL102237","15 ADMINISTRATIVE ROAD","BRIDGEWATER","MA","110070204573","3",3,"N",0,0
" MONTGOMERY COUNTY MUD 105 WASTEWATER TREATMENT PLANT 1","TX0127400","4650 RILEY FUZZEL ROAD","OAK RIDGE NORTH","TX","110020547791","0",0,"N",0,0
" NAUVOO STP, CITY OF","IL0023531","345 WATER STREET","NAUVOO","IL","110006770235","0",0,"N",0,0
" PORT ARTHUR MAIN WWTF","TX0047589","6300 PROCTER STREET EXT","PORT ARTHUR","TX","110064624973","9",0,"N",0,0
" ROB AND AMP BESSIE WELDER PARK","TX0110361","APPRX 2.4 MI N OF THE INTE OF FM 881 AND ","SINTON","TX","110039703915","0",0,"N",0,0
" SAN MARCOS WWTP","TX0047945","720 RIVER RD","SAN MARCOS","TX","110002044305","8",0,"N",0,0
" TYLER STATE PARK WWTF","TX0125946","789 PARK ROAD 16","TYLER","TX","110016691908","7",0,"N",0,0
"#260 - NORMAN","OK0042889","1/2 MILE WEST OF I-35 ON HWY 9","NORMAN","OK","110009820211","1",1,"N",0,0
"1 PAUL WAYNE HAGGERTY ROAD","WVL025461","FEOPPEL RD & LODGEVILLE EXT ROAD","BRIDGEPORT","WV","110000877766","2",0,"N",0,0
"1178 CR LLC","OH0076643","RFD NO 3 GOULDS RD","STEUBENVILLE","OH","110008575746","4",0,"N",0,0
"12470 SRALLA ROAD","TXL005028","12470 SRALLA ROAD","CROSBY","TX","110070111092","6",0,"N",0,0
"1486 ASSET WWTP","TX0140589","1997 N FMR 1486","MONTGOMERY","TX","110070868784","3",0,"N",0,0
"18415 FOREST DEER RAOD","TX0097373","9 GREENWAY PLAZA STE 110","HOUSTON","TX","110009747453","0",0,"N",0,0
"1ST SPECIAL OPERATIONS CIVIL ENGINEER SQUADRON","FLL003174","415 INDEPENDENCE RD","HURLBURT FIELD","FL","110012707035","1",0,"N",0,0
"270 AC INDUSTRIAL PARK WWTP","TX0139173","0.7 MI SE OF THE INTEX OF BAUER RD & SCHIEL RD","CYPRESS","TX","110070528156","0",0,"N",0,0
