tmp,ewg_id,PFA,Location detected,Maximum Level (ppt)Years tested,Years tested,Maximum Level (ppt)*
,7,6:2 FTS,GroundwaterOn-base,"2,1002018",NA,NA
,7,8:2 FTS,GroundwaterOn-base,"2,0002018",NA,NA
,7,PFBS,GroundwaterOn-base,"13,0002018",NA,NA
,7,PFDA,GroundwaterOn-base,932018,NA,NA
,7,PFDoA,GroundwaterOn-base,1902018,NA,NA
,7,PFHxA,GroundwaterOn-base,"18,0002018",NA,NA
,7,PFHxS,GroundwaterOn-base,"49,0002018",NA,NA
,7,PFNA,GroundwaterOn-base,5602018,NA,NA
,7,PFOA,GroundwaterOn-base,"26,0002018",NA,NA
,7,PFOS,GroundwaterOn-base,"330,0002018",NA,NA
,7,PFOS+PFOA,GroundwaterOn-base,"334,2002018",NA,NA
,7,PFTeA,GroundwaterOn-base,922018,NA,NA
,7,PFTrDA,GroundwaterOn-base,1802018,NA,NA
,7,PFUnA,GroundwaterOn-base,1802018,NA,NA
,13,PFBS,GroundwaterOn-base,792018,NA,NA
,13,PFHpA,GroundwaterOn-base,472018,NA,NA
,13,PFHxS,GroundwaterOn-base,4702018,NA,NA
,13,PFNA,GroundwaterOn-base,4202018,NA,NA
,13,PFOA,GroundwaterOn-base,912018,NA,NA
,13,PFOS,GroundwaterOn-base,"1,0002018",NA,NA
,13,PFOS+PFOA,GroundwaterOn-base,"1,1002018",NA,NA
,16,NEtFOSAA,GroundwaterOn-base,162018,NA,NA
,16,NMeFOSAA,GroundwaterOn-base,152018,NA,NA
,16,PFBA,GroundwaterOn-base,162018,NA,NA
,16,PFBS,GroundwaterOn-base,"9,2302018",NA,NA
,16,PFDA,GroundwaterOn-base,162018,NA,NA
,16,PFHpA,GroundwaterOn-base,"2,1302018",NA,NA
,16,PFHxA,GroundwaterOn-base,"3,9802018",NA,NA
,16,PFHxS,GroundwaterOn-base,"6,6002018",NA,NA
,16,PFNA,GroundwaterOn-base,1582018,NA,NA
,16,PFOA,GroundwaterOn-base,"6,3202018",NA,NA
,16,PFOS,GroundwaterOn-base,"207,0002018",NA,NA
,16,PFOS+PFOA,GroundwaterOn-base,"213,0002018",NA,NA
,16,PFTeA,GroundwaterOn-base,2.32018,NA,NA
,16,PFUnA,GroundwaterOn-base,4.82018,NA,NA
,23,PFOA,GroundwaterOn-base,"1,9002017",NA,NA
,23,PFOS,GroundwaterOn-base,"95,0002017",NA,NA
,23,PFOS+PFOA,GroundwaterOn-base,"96,9002017",NA,NA
,24,PFOS + PFOA,Drinking waterOff-base,2282016,NA,NA
,24,PFOS,Drinking waterOff-base,1502016,NA,NA
,24,PFOA,Drinking waterOff-base,552016,NA,NA
,24,PFBS,Drinking waterOff-base,3.32016,NA,NA
