pws_id,Chemical,Years tested,Maximum Level (ppt)
10106001,NA,NA,0
61020808,NA,NA,0
90400109,NA,NA,0
AK2210906,PFHxS,2023,11
AK2210906,PFOA,2023,9.1
AK2210906,Total PFAS,2023,20
AK2320078,PFOS,2019-2022,99
AK2320078,PFOA,2019-2022,9.3
AK2320078,Total PFAS,2019-2022,108
AK2350023,PFHxS,2020,6.8
AK2350023,PFOS,2020,12
AK2350023,PFOA,2020,24
AK2350023,PFHpA,2020,14
AK2350023,PFNA,2020,6.8
AK2350023,Total PFAS,2020,64
AL0000013,PFBS,2023,73
AL0000013,PFBA,2023,13
AL0000013,PFHxA,2023,19
AL0000013,PFOS,2023,20
AL0000013,PFOA,2023,16
AL0000013,PFPeA,2023,32
AL0000013,PFHpA,2023,6.5
AL0000013,Total PFAS,2023,175
AL0000017,PFBS,2022,23
AL0000017,PFHxA,2022,6.8
AL0000017,PFOS,2022,8.2
AL0000017,PFOA,2022,6.7
AL0000017,PFHpA,2014-2022,20
AL0000017,Total PFAS,2014-2022,47
AL0000023,PFHxS,2020-2022,7.6
AL0000023,PFOS,2020-2022,9.2
AL0000023,Total PFAS,2020-2022,17
AL0000025,PFBS,2022-2023,5.1
AL0000025,PFBA,2023,7.4
AL0000025,PFHxS,2020-2023,5.6
AL0000025,PFHxA,2022-2023,4.4
AL0000025,PFOS,2020-2023,4.8
AL0000025,PFOA,2020-2023,4.9
AL0000025,PFPeA,2023,5
AL0000025,PFHpA,2022,3.3
AL0000025,Total PFAS,2020-2023,27
AL0000035,PFHxA,2021,3.1
AL0000035,PFOS,2021-2022,13
AL0000035,PFOA,2021-2022,4.2
AL0000035,PFHpA,2021,2.9
AL0000035,PFNA,2021,7.2
AL0000035,Total PFAS,2021-2022,17
AL0000036,PFBS,2022,2.6
AL0000036,PFHxS,2020-2022,3.5
AL0000036,PFHxA,2020-2022,2.8
AL0000036,PFOS,2020-2022,11
AL0000036,PFOA,2020-2022,2.9
AL0000036,Total PFAS,2020-2022,23
AL0000048,PFBS,2020,4
AL0000048,PFHxS,2020,20
AL0000048,PFHxA,2020,3.8
AL0000048,PFOS,2020,32
AL0000048,PFOA,2020,3.8
AL0000048,Total PFAS,2020,64
AL0000162,PFHxS,2022,2.5
AL0000162,PFOS,2022,6.1
AL0000162,Total PFAS,2022,8.6
AL0000168,PFBS,2020-2022,3.8
AL0000168,PFHxS,2020-2022,14
AL0000168,PFHxA,2022,2
AL0000168,PFOS,2020-2022,15
AL0000168,PFOA,2020-2022,4.4
AL0000168,Total PFAS,2020-2022,31
AL0000180,PFBA,2023,7.7
AL0000180,PFHxA,2023,4.9
AL0000180,PFOS,2023,4.2
AL0000180,PFOA,2023,7.7
AL0000180,PFPeA,2023,3
AL0000180,Total PFAS,2023,28
AL0000181,PFHxS,2020-2022,3.6
AL0000181,PFHxA,2020-2022,6.9
AL0000181,PFOS,2020-2022,24
AL0000181,PFOA,2020-2022,11
AL0000181,PFHpA,2020-2022,2.4
AL0000181,N-EtFOSAA,2022,1.1
AL0000181,Total PFAS,2020-2022,48
AL0000184,PFBS,2020-2022,8.2
AL0000184,PFHxS,2020-2022,2.3
AL0000184,PFHxA,2020-2022,6.9
AL0000184,PFOS,2020-2022,4.2
AL0000184,PFOA,2020-2022,3.4
AL0000184,PFHpA,2020-2022,2.2
AL0000184,Total PFAS,2020-2022,27
AL0000188,PFBS,2020-2022,210
AL0000188,PFHxS,2020-2021,14
AL0000188,PFHxA,2020-2022,47
AL0000188,PFOS,2020-2021,73
AL0000188,PFOA,2020-2021,41
AL0000188,PFHpA,2020-2021,16
AL0000188,PFNA,2020-2021,3.7
AL0000188,PFDA,2020-2021,3.1
AL0000188,Total PFAS,2020-2022,394
AL0000213,PFBS,2021-2022,68
AL0000213,PFHxS,2022,2.8
AL0000213,PFHxA,2021-2022,19
AL0000213,PFOS,2021-2022,24
AL0000213,PFOA,2014-2022,20
AL0000213,PFHpA,2014-2022,10
AL0000213,Total PFAS,2014-2022,140
AL0000255,PFBS,2020-2022,5.3
AL0000255,PFHxS,2020-2022,9.9
AL0000255,PFHxA,2020-2022,6.5
AL0000255,PFOS,2020-2022,13
AL0000255,PFOA,2022,4.7
AL0000255,PFHpA,2022,3.9
AL0000255,Total PFAS,2020-2022,42
AL0000256,PFOS,2020-2022,14
AL0000256,PFOA,2020,7.5
AL0000256,Total PFAS,2020-2022,21
AL0000262,PFBS,2020-2023,41
AL0000262,PFBA,2023,6.6
AL0000262,PFHxS,2022,2.3
AL0000262,PFHxA,2020-2023,12
AL0000262,PFOS,2020-2023,14
AL0000262,PFOA,2020-2023,11
AL0000262,PFPeA,2023,13
AL0000262,PFHpA,2022-2023,4.3
AL0000262,Total PFAS,2020-2023,95
AL0000311,PFBS,2020-2022,4.5
AL0000311,PFHxS,2022,2.3
AL0000311,PFHxA,2022,5.4
AL0000311,PFOS,2020-2022,18
AL0000311,PFOA,2020-2022,8.8
AL0000311,PFHpA,2022,2.3
AL0000311,Total PFAS,2020-2022,41
AL0000314,PFBS,2022-2023,8.5
AL0000314,PFBA,2023,38
AL0000314,PFHxS,2022-2023,3.3
AL0000314,PFHxA,2022-2023,12
AL0000314,PFOS,2014-2023,50
AL0000314,PFOA,2014-2023,60
AL0000314,PFPeA,2023,4.4
AL0000314,PFHpA,2022,4
AL0000314,Total PFAS,2014-2023,84
AL0000316,PFBS,2022,8.8
AL0000316,PFHxS,2022,3.5
AL0000316,PFHxA,2022,22
AL0000316,PFOS,2022,11
AL0000316,PFOA,2022,11
AL0000316,PFHpA,2022,3.5
AL0000316,Total PFAS,2022,60
AL0000321,PFBS,2022,5.1
AL0000321,PFHxS,2022,2.4
AL0000321,PFHxA,2022,4.5
AL0000321,PFOS,2022,22
AL0000321,PFOA,2022,13
AL0000321,PFHpA,2022,3
AL0000321,Total PFAS,2022,49
AL0000327,PFBS,2022,5.7
AL0000327,PFHxS,2022,3.9
AL0000327,PFHxA,2022,4.8
AL0000327,PFOS,2022,28
AL0000327,PFOA,2022,16
AL0000327,PFHpA,2022,4.9
AL0000327,Total PFAS,2022,63
AL0000331,PFBS,2022,5.2
AL0000331,PFHxS,2022,2.7
AL0000331,PFHxA,2022,2.9
AL0000331,PFOS,2022,6
AL0000331,PFOA,2022,3.6
AL0000331,Total PFAS,2022,20
AL0000339,PFOS,2020,6.6
AL0000339,Total PFAS,2020,6.6
AL0000366,PFBS,2020-2022,37
AL0000366,PFHxS,2020-2022,2.6
AL0000366,PFHxA,2020-2022,30
AL0000366,PFOS,2020-2022,20
AL0000366,PFOA,2020-2022,11
AL0000366,PFHpA,2020-2022,21
AL0000366,HFPO-DA,2020,3.9
AL0000366,Total PFAS,2020-2022,111
AL0000413,PFOS,2014,180
AL0000413,PFOA,2014,90
AL0000413,PFHpA,2014,20
AL0000413,Total PFAS,2014,290
AL0000502,PFBS,2022,2.3
AL0000502,PFHxA,2020-2022,22
AL0000502,PFOS,2020-2022,4.1
AL0000502,PFOA,2022,4.1
AL0000502,PFHpA,2022,2.7
AL0000502,Total PFAS,2020-2022,27
AL0000533,PFBA,2023,6.8
AL0000533,PFOS,2023,5
AL0000533,Total PFAS,2023,6.8
AL0000537,PFOS,2023,4.5
AL0000537,Total PFAS,2023,4.5
AL0000540,PFBS,2023,56
AL0000540,PFBA,2023,9.3
AL0000540,PFHxA,2023,15
AL0000540,PFOS,2023,18
AL0000540,PFOA,2023,14
AL0000540,PFPeA,2023,23
AL0000540,PFHpA,2023,5.4
AL0000540,Total PFAS,2023,138
AL0000553,PFBS,2020-2022,2.8
AL0000553,PFHxS,2020-2022,23
AL0000553,PFHxA,2020,2.5
AL0000553,PFOS,2020-2022,16
AL0000553,Total PFAS,2020-2022,44
AL0000577,PFBS,2020-2023,720
AL0000577,PFBA,2023,17
AL0000577,PFHxS,2020-2022,8.2
AL0000577,PFHxA,2020-2023,49
AL0000577,PFOS,2014-2023,50
AL0000577,PFOA,2014-2023,40
AL0000577,PFPeA,2023,50
AL0000577,PFHpA,2014-2023,30
AL0000577,PFNA,2020-2022,6.5
AL0000577,PFDA,2020-2022,6.8
AL0000577,PFDoA,2020,21
AL0000577,PFTA,2020,13
AL0000577,PFTrDA,2020,15
AL0000577,PFUnA,2020,6
AL0000577,Total PFAS,2014-2023,792
AL0000588,PFBS,2013,100
AL0000588,PFOS,2013,60
AL0000588,PFOA,2013-2014,40
AL0000588,PFHpA,2013,20
AL0000588,Total PFAS,2013-2014,210
AL0000591,PFOS,2013,50
AL0000591,PFOA,2013,40
AL0000591,PFHpA,2013,20
AL0000591,Total PFAS,2013,90
AL0000732,PFHxA,2022,2.7
AL0000732,PFOS,2020-2022,5.1
