pws_id,Chemical,Years tested,Maximum Level (ppt)
90400090,NA,NA,0
90605013,NA,NA,0
90605163,NA,NA,0
AK2224646,PFHxS,2023,3.1
AK2224646,Total PFAS,2023,3.1
AK2310675,PFHxS,2020,2.6
AK2310675,Total PFAS,2020,2.6
AK2310683,PFHxS,2023,5.7
AK2310683,PFHxA,2023,3.1
AK2310683,Total PFAS,2023,8.8
AK2310730,PFHxS,2017-2022,5.5
AK2310730,PFHxA,2017,3
AK2310730,PFOS,2017-2022,2.7
AK2310730,PFOA,2017-2022,3.4
AK2310730,Total PFAS,2017-2022,14
AK2310900,PFHxS,2017,5.5
AK2310900,PFHxA,2017,3
AK2310900,PFOS,2017,2.7
AK2310900,PFOA,2017,3.2
AK2310900,Total PFAS,2017,14
AK2340109,PFOA,2019,0.2
AK2340109,Total PFAS,2019,0.2
AL0000029,PFHxA,2022,2.4
AL0000029,Total PFAS,2022,2.4
AL0000103,PFBS,2022,1.9
AL0000103,PFHxS,2022,2.4
AL0000103,PFOS,2022,2.2
AL0000103,PFOA,2022,1.9
AL0000103,Total PFAS,2022,8.3
AL0000154,PFBS,2022,1.5
AL0000154,PFHxS,2022,1.2
AL0000154,PFOS,2022,2.8
AL0000154,PFOA,2022,0.9
AL0000154,Total PFAS,2022,6.4
AL0000174,PFBS,2023,3.9
AL0000174,PFHxA,2023,4.3
AL0000174,PFPeA,2023,5.3
AL0000174,Total PFAS,2023,14
AL0000178,PFBA,2023,6.4
AL0000178,Total PFAS,2023,6.4
AL0000179,PFBS,2023,8.6
AL0000179,PFBA,2023,5
AL0000179,PFHxA,2023,5
AL0000179,PFPeA,2023,5
AL0000179,Total PFAS,2023,14
AL0000237,PFHpA,2023,3.1
AL0000237,Total PFAS,2023,3.1
AL0000319,PFBS,2020,4.8
AL0000319,Total PFAS,2020,4.8
AL0000375,PFHxS,2020,2.9
AL0000375,Total PFAS,2020,2.9
AL0000406,PFBS,2023,3.3
AL0000406,Total PFAS,2023,3.3
AL0000416,PFDA,2020,3.9
AL0000416,PFDoA,2020,9.5
AL0000416,PFTA,2020,7.5
AL0000416,PFTrDA,2020,8.9
AL0000416,PFUnA,2020,7.7
AL0000416,9Cl-PF3ONS,2020,4
AL0000416,11Cl-PF3OUdS,2020,7
AL0000416,N-EtFOSAA,2020,7.1
AL0000416,NMeFOSAA,2020,6.3
AL0000416,Total PFAS,2020,62
AL0000547,PFBS,2022,1
AL0000547,PFHxA,2022,1.3
AL0000547,PFOS,2022,1.8
AL0000547,PFOA,2022,1.4
AL0000547,Total PFAS,2022,5.3
AL0000549,PFBS,2022,2.9
AL0000549,PFHpA,2014,10
AL0000549,Total PFAS,2014-2022,10
AL0000578,PFBS,2022,0.7
AL0000578,PFHxS,2022,1.7
AL0000578,PFOS,2020-2022,2.5
AL0000578,Total PFAS,2020-2022,4.2
AL0000651,ADONA,2020,4.2
AL0000651,Total PFAS,2020,4.2
AL0000681,PFHxS,2022,1.7
AL0000681,PFOS,2022,1.7
AL0000681,PFOA,2022,1
AL0000681,N-EtFOSAA,2022,1
AL0000681,Total PFAS,2022,5.3
AL0000713,PFBS,2020-2023,3.5
AL0000713,PFHxA,2020,1.5
AL0000713,PFOS,2020-2022,2.7
AL0000713,HFPO-DA,2020,2
AL0000713,Total PFAS,2020-2023,8
AL0000728,PFBS,2022,3.1
AL0000728,PFHxA,2022,2.4
AL0000728,Total PFAS,2022,5.3
AL0000729,PFBS,2022-2023,4.6
AL0000729,PFBA,2023,9.8
AL0000729,Total PFAS,2022-2023,14
AL0000772,PFTA,2021,2.9
AL0000772,Total PFAS,2021,2.9
AL0000824,PFBS,2022,1.3
AL0000824,PFOS,2022,3.6
AL0000824,Total PFAS,2022,3.6
AL0000885,PFBS,2020-2022,3.2
AL0000885,PFHxA,2020-2022,4.1
AL0000885,PFOS,2020-2022,2.7
AL0000885,PFOA,2020,1.4
AL0000885,HFPO-DA,2020,3.4
AL0000885,Total PFAS,2020-2022,9.4
AL0000897,PFBS,2021,2
AL0000897,PFHxA,2021,1.9
AL0000897,Total PFAS,2021,3.9
AL0000929,PFHxS,2020,4
AL0000929,Total PFAS,2020,4
AL0000934,PFBS,2022,2.3
AL0000934,Total PFAS,2022,2.3
AL0000943,PFBS,2022,2.7
AL0000943,PFHxA,2022,2.3
AL0000943,PFOS,2022,2.5
AL0000943,PFOA,2022,1.4
AL0000943,PFDoA,2022,2.1
AL0000943,11Cl-PF3OUdS,2022,2
AL0000943,Total PFAS,2022,9.3
AL0000967,PFBS,2022,2.6
AL0000967,PFBA,2023,17
AL0000967,6:2 FTSA,2023,5.4
AL0000967,Total PFAS,2022-2023,17
AL0001005,PFBS,2022,1.5
AL0001005,PFHxS,2022,0.7
AL0001005,PFHxA,2022,1.4
AL0001005,PFOS,2022,1.6
AL0001005,PFOA,2022,2.2
AL0001005,PFHpA,2022,1.2
AL0001005,PFNA,2022,0.6
AL0001005,Total PFAS,2022,9.2
AL0001070,PFHxA,2022,2.2
AL0001070,PFOS,2019-2022,3.6
AL0001070,PFOA,2019,2.5
AL0001070,PFHpA,2019,1.1
AL0001070,Total PFAS,2019-2022,7.1
AL0001150,PFHxS,2022,2.1
AL0001150,Total PFAS,2022,2.1
AL0001163,PFBS,2022,4
AL0001163,PFHxS,2022,2.2
AL0001163,PFHxA,2022,1.5
AL0001163,PFOS,2022,3.7
AL0001163,PFOA,2022,1.9
AL0001163,Total PFAS,2022,13
AL0001203,PFBS,2022-2023,22
AL0001203,PFBA,2023,8
AL0001203,PFHxS,2022,1.1
AL0001203,PFHxA,2022-2023,7.5
AL0001203,PFOS,2022,1.2
AL0001203,PFOA,2022,1.1
AL0001203,PFPeA,2023,17
AL0001203,PFHpA,2022,1.1
AL0001203,ADONA,2022,1.1
AL0001203,Total PFAS,2022-2023,55
AL0001204,PFBS,2022,0.9
AL0001204,PFHxS,2022,1.4
AL0001204,PFOS,2022,1.9
AL0001204,Total PFAS,2022,4.1
AL0001211,PFBS,2022,2.3
AL0001211,Total PFAS,2022,2.3
AL0001247,PFOS,2020-2022,3.9
AL0001247,PFDoA,2020,2.6
AL0001247,PFTrDA,2020,2.3
AL0001247,PFUnA,2020,1.8
AL0001247,N-EtFOSAA,2020,2.1
AL0001247,NMeFOSAA,2020,1.8
AL0001247,Total PFAS,2020-2022,15
AL0001748,PFBS,2023,4.1
AL0001748,PFBA,2023,6.8
AL0001748,Total PFAS,2023,10
AL0001781,PFHxA,2020,6.1
AL0001781,Total PFAS,2020,6.1
AL0001783,PFHxS,2022,0.7
AL0001783,Total PFAS,2022,0.7
AR0000027,PFBA,2023,5.6
AR0000027,Total PFAS,2023,5.6
AR0000041,6:2 FTSA,2023,6.7
AR0000041,Total PFAS,2023,6.7
AR0000056,PFBS,2023,7
AR0000056,PFHxA,2023,3.6
AR0000056,PFPeA,2023,5.5
AR0000056,Total PFAS,2023,16
AR0000244,PFBA,2023,5.4
AR0000244,Total PFAS,2023,5.4
AZ0401004,PFBS,2023,3.1
AZ0401004,Total PFAS,2023,3.1
AZ0402010,PFPeA,2023,3
AZ0402010,Total PFAS,2023,3
AZ0407025,PFBS,2023,16
AZ0407025,PFBA,2023,6
AZ0407025,Total PFAS,2023,21
AZ0407090,PFBS,2023,10
AZ0407090,PFBA,2023,5
AZ0407090,PFPeA,2023,3
AZ0407090,Total PFAS,2023,11
AZ0407091,PFBS,2023,9
AZ0407091,PFHxA,2023,6
AZ0407091,PFOA,2023,4
AZ0407091,PFPeA,2023,10
AZ0407091,Total PFAS,2023,29
AZ0407092,PFBS,2023,11
AZ0407092,Total PFAS,2023,11
AZ0407101,PFBS,2023,7.8
AZ0407101,PFBA,2023,6.5
AZ0407101,Total PFAS,2023,14
AZ0407128,PFBA,2023,7
AZ0407128,Total PFAS,2023,7
AZ0408063,PFBS,2023,5.6
AZ0408063,PFHxA,2023,3
AZ0408063,PFPeA,2023,5.1
AZ0408063,Total PFAS,2023,11
AZ0411017,PFBS,2023,60
AZ0411017,PFBA,2023,9
AZ0411017,PFHxS,2023,7
AZ0411017,Total PFAS,2023,76
CA0110005,PFBA,2023,5.2
CA0110005,Total PFAS,2023,5.2
CA0110018,PFBS,2021-2022,2.2
CA0110018,PFHxS,2020-2022,3.7
CA0110018,PFOS,2022,2.1
CA0110018,Total PFAS,2020-2022,5.9
CA0710001,PFHxA,2021,2
CA0710001,Total PFAS,2021,2
