tmp,ewg_id,name,state,population_served
,7,Eielson Air Force Base,"Eielson, Alaska",Firefighting foam
,13,Joint Base Cape Cod,"Barnstable County, Massachusetts",Firefighting foam
,16,Wurtsmith Air Force Base,"Iosco County, Michigan",Firefighting foam
,23,Pease Air Force Base,"Rockingham County, New Hampshire",Firefighting foam
,24,Naval Weaspons Station Earle,"Colts Neck, New Jersey",Firefighting foam
,35,Chittenden County,"Chittenden County, Vermont",Firefighting foam
,38,Naval Auxiliary Landing Field  Fentress,"Chesapeake, Virginia",Firefighting foam
,42,New Castle Airport,"New Castle County, Delaware",Firefighting foam
,43,Dover Air Force Base,"Dover, Delaware",Firefighting foam
,44,Barnes Municipal Airport,"Westfield, Massachusetts",Firefighting foam
,46,Joint Base McGuire-Dix-Lakehurst - McGuire,"McGuire, New Jersey",Firefighting foam
,47,Fairchild Air Force Base,"Fairchild, Washington",Firefighting foam
,49,Camp Grayling,"Crawford County, Michigan",Firefighting foam
,50,Plattsburgh Air Force Base,"Plattsburgh, New York",Firefighting foam
,57,Brunswick Naval Air Station,"Brunswick, Maine",Firefighting foam
,67,MCOLF Atlantic,"Atlantic, North Carolina",Firefighting foam
,68,Fort McCoy,"Fort McCoy, Wisconsin",Firefighting foam
,76,Naval Outlying Field Coupeville,"Coupeville, Washington",Firefighting foam
,77,Naval Air Station Oceana,"Virginia Beach, Virginia",Firefighting foam
,85,Selfridge Air National Guard Base,"Mt. Clemens, Michigan",Firefighting foam
,97,Fort Hunter Liggett,"Monterey County, California",Firefighting foam
,98,Fort Ord,"Monterey Bay, California",Firefighting foam
,99,NSA Monterey,"Dixon, California",Firefighting foam
,102,Marine Corps Logistics Base Barstow,"Barstow, California",Firefighting foam
,103,Naval Air Station Alameda,"Alameda, California",Firefighting foam
,104,Naval Air Weapons Station  China Lake,"Kern, San Bernardino and Inyo Counties, California",Firefighting foam
,105,Naval Construction Battalion Center  Port Hueneme,"Port Hueneme, California",Firefighting foam
,106,Naval Station Treasure Island,"Treasure Island, California",Firefighting foam
,107,El Toro Marine Corps Air Station,"Orange County, California",Firefighting foam
,108,Marine Corps Air Station Tustin,"Tustin, California",Firefighting foam
,109,Twentynine Palms Strategic Expeditionary Landing Field,"Twentynine Palms, San Bernardino County, California",Firefighting foam
,110,March Air Force Base,"March ARB, California",Firefighting foam
,111,Mather Air Force Base,"Mather, California",Firefighting foam
,112,Beale Air Force Base,"Beale, California",Firefighting foam
,113,Travis Air Force Base,"Fairfield, California",Firefighting foam
,114,Castle Air Force Base,"Atwater, California",Firefighting foam
,115,George Air Force Base,"Victorville, California",Firefighting foam
,116,McClellan Air Force Base,"Sacramento County, California",Firefighting foam
,117,Point Barrow Long Range Radar Site,"Barrow, Alaska",Firefighting foam
,118,Amchitka Air Force Base,"Amchitka, Alaska",Firefighting foam
,119,Galena Air Force Base,"Galena, Alaska",Firefighting foam
,120,Marine Corps Air Station Yuma,"Yuma, Arizona",Firefighting foam
,121,Cape Canaveral,"Cape Canaveral, Florida",Firefighting foam
,122,Eglin Air Force Base,"Eglin, Florida",Firefighting foam
,123,Patrick Air Force Base,"Patrick, Florida",Firefighting foam
,124,Moody Air Force Base,"Lowndes County, Georgia",Firefighting foam
,125,Robins Air Force Base,"Houston County, Georgia",Firefighting foam
,126,Mountain Home Air Force Base,"Mountain Home, Idaho",Firefighting foam
,127,Chanute Air Force Base,"Rantoul, Illinois",Firefighting foam
,128,Grissom Air Force Base,"Grissom, Indiana",Firefighting foam
,129,Fort Leavenworth,"Leavenworth, Kansas",Firefighting foam
,130,England Air Force Base,"Rapides County, Louisiana",Firefighting foam
,131,Navy VLF Transmitter Cutler,"Cutler, Maine",Firefighting foam
,132,Portsmouth Naval Shipyard,"Kittery, York County, Maine",Firefighting foam
,133,Loring Air Force Base,"Aroostook County, Maine",Firefighting foam
,134,Fort Meade,"Fort Meade (CDP), Maryland",Firefighting foam
,135,Annapolis (BRAC),"Annapolis, Maryland",Firefighting foam
,136,US Naval Research Laboratory Chesapeake Bay Detachment,"Chesapeake Beach, Maryland",Firefighting foam
,137,White Oak - Naval Surface Warfare Center Dahlgren Division Detachment,"Silver Spring, Maryland",Firefighting foam
,139,Bedford Naval Weapons Industrial Reserve Plant,"Bedford, Massachusetts",Firefighting foam
,140,Naval Air Station South Weymouth,"Weymouth/Rockland/Abington, Massachusetts",Firefighting foam
,141,Belmont Armory,"Kent County, Michigan",Firefighting foam
,142,Gulfport Naval Construction Battalion Center,"Gulfport, Mississippi",Firefighting foam
,143,Naval Air Station Meridian,"Luaderdale County/Kemper County, Mississippi",Firefighting foam
,144,Richards-Gebaur Air Force Base,"Kansas City, Missouri",Firefighting foam
,145,New Boston Air Force Station,"New Boston, New Hampshire",Firefighting foam
,146,Newington,"Newington, New Hampshire",Firefighting foam
,147,Naval Air Warfare Center Trenton,"Ewing Township, New Jersey",Firefighting foam
,149,Seneca Army Ammunition Plant,"Seneca County, New York",Firefighting foam
,151,"Naval Weapons Industrial Reserve Plant, Calverton (NWIRP)","Riverhead, New York",Firefighting foam
,152,Griffiss Air Force Base,"Rome, New York",Firefighting foam
,153,Defense Fuel Support Point  Verona,"Verona, New York",Firefighting foam
,154,Altus Air Force Base,"Altus, Oklahoma",Firefighting foam
,155,Letterkenny,"Chambersburg, Pennsylvania",Firefighting foam
,156,North Penn,"Worcester, Pennsylvania",Firefighting foam
,157,Harrisburg International Airport,"Dauphin County, Pennsylvania",Firefighting foam
,158,Naval Station Newport,"Newport County, Rhode Island",Firefighting foam
,159,Myrtle Beach Air Force Base,"Myrtle Beach, South Carolina",Firefighting foam
,160,Ellsworth Air Force Base,"Box Elder, South Dakota",Firefighting foam
,161,Naval Support Activity Mid-South,"Millington, Tennesssee",Firefighting foam
,162,El Campo TNG Site,"Wharton County, Texas",Firefighting foam
,163,Corpus Christi Texas Naval Air Station,"Nueces County, Texas",Firefighting foam
,164,Grand Prairie Armed Forces Reserve Complex,"Dallas, Texas",Firefighting foam
,165,Joint Base San Antonio - Lackland,"San Antonio, Texas",Firefighting foam
,166,Bergstrom Air Force Base,"Austin, Texas",Firefighting foam
,167,Kelly Air Force Base,"San Antonio, Texas",Firefighting foam
,168,Hill Air Force Base,"Ogden, Weber County, Utah",Firefighting foam
,169,Norfolk Virginia Naval Base,"Norfolk, Virginia",Firefighting foam
,170,Langley Air Force Base,"Hampton, Virginia",Firefighting foam
,171,General Mitchell International Airport,"Milwaukee, Wisconsin",Firefighting foam
,172,F.E. Warren Air Force Base,"Warren, Wyoming",Firefighting foam
,173,Naval Air Station Jacksonville,"Jacksonville, Florida",Firefighting foam
,174,Naval Air Station Pensacola (Bronson Field),"Pensacola, Florida",Firefighting foam
,175,Naval Air Station Pensacola (Saufley Field),"Pensacola, Florida",Firefighting foam
,176,Naval Air Station Whiting Field,"Milton, Florida",Firefighting foam
,177,Naval Air Station Pensacola,"Pensacola, Florida",Firefighting foam
,178,Horsham Air Guard Station,"Montgomery County, Pennsylvania",Firefighting foam
,179,Tinker Air Force Base,"Oklahoma City, Oklahoma",Firefighting foam
,180,Peterson Air Force Base,"Colorado Springs, Colorado",Firefighting foam
,198,Dobbins Air Force Base,"Cobb County, Georgia",Firefighting foam
,215,Cannon Air Force Base,"Cannon, New Mexico",Firefighting foam
,244,A Lincoln Spngfld (Capital),"Springfield, Illinois",Firefighting foam
,245,Air Force Plant 3,"Tulsa, Oklahoma",Firefighting foam
,246,Air Force Plant 44,"Pima County, Arizona",Firefighting foam
,247,Air Force Plant 6,"Cobb County, Georgia",Firefighting foam
,248,Air Force Plant 85,"Columbus, Ohio",Firefighting foam
,249,Air Force Plant PJKS,"Jefferson County, Colorado",Firefighting foam
,250,Alpena County Regional Airport,"Alpena County, Michigan",Firefighting foam
,251,Arnold Air Force Base,"Coffee County, Tennessee",Firefighting foam
,252,Avon Park Air Force Range,"Polk County, Florida",Firefighting foam
,253,Bangor International Airport,"Bangor, Maine",Firefighting foam
,254,Barksdale Air Force Base,"Bossier City, Louisiana",Firefighting foam
,255,Birmingham International Airport,"Birmingham, Alabama",Firefighting foam
,256,Boise Air Terminal,"Boise City, Idaho",Firefighting foam
,257,Bradley International Airport,"Windsor Locks, Connecticut",Firefighting foam
,258,Buckley Air Force Base,"Aurora, Colorado",Firefighting foam
,259,Burlington International Airport,"South Burlington, Vermont",Firefighting foam
,260,Charleston Air Force Base,"North Charleston, South Carolina",Firefighting foam
,261,Charlotte Douglas International Airport,"Charlotte, North Carolina",Firefighting foam
,262,Cheyenne Municipal Airport,"Cheyenne, Wyoming",Firefighting foam
,263,Clear Air Force Station,"Anderson, Alaska",Firefighting foam
,264,Columbus Air Force Base,"Lowndes County, Mississippi",Firefighting foam
,265,Davis-Monthan Air Force Base,"Tucson, Arizona",Firefighting foam
