pws_id,name,state,population_served
10106001,NA,NA,0
61020808,NA,NA,0
90400109,NA,NA,0
AK2210906,Municipality of Anchorage,Alaska,"221,351"
AK2320078,Barrow Utilities & Elec. Co-op Inc. (bu,Alaska,"4,850"
AK2350023,Alyeska Ps 5 Perm,Alaska,60
AL0000013,Marbury Water System Inc.,Alabama,"8,670"
AL0000017,Prattville,Alabama,"45,444"
AL0000023,North Baldwin Utilities,Alabama,"28,713"
AL0000025,Belforest Water System,Alabama,"13,380"
AL0000035,Fairhope Water System,Alabama,"38,754"
AL0000036,Foley,Alabama,"41,388"
AL0000048,"Loxley, Town of",Alabama,"10,104"
AL0000162,Oxford Water Works & Sewer Board,Alabama,"28,401"
AL0000168,Weaver Water System,Alabama,"6,591"
AL0000180,Beulah Utilities District,Alabama,"9,120"
AL0000181,Caa-ctc Plainview Head Start Program,Alabama,49
AL0000184,Chattahoochee Valley Water Supply District,Alabama,32
AL0000188,Centre Water & Sewer Board,Alabama,"7,050"
AL0000213,Clanton Water Department,Alabama,"13,500"
AL0000255,Grove Hill Water Works,Alabama,"3,750"
AL0000256,Jackson Water Works & Sewer Board,Alabama,"11,715"
AL0000262,Thomasville Water Works & Sewer Board,Alabama,"6,897"
AL0000311,Cherokee Water & Gas Department,Alabama,"1,932"
AL0000314,Colbert County Rural Water System,Alabama,"10,731"
AL0000316,Hawk Pride Mountain Water System,Alabama,"4,035"
AL0000321,Muscle Shoals Utility Board,Alabama,"18,303"
AL0000327,Sheffield Utilities Department,Alabama,"14,607"
AL0000331,Tuscumbia Water Works,Alabama,"13,338"
AL0000339,Fairview Water System (conecuh),Alabama,975
AL0000366,"Wise Metals Group, Llc (constellium)",Alabama,"2,400"
AL0000413,"V.A.W. Water System, Inc",Alabama,"15,582"
AL0000502,Jcg Foods Of Alabama Llc,Alabama,850
AL0000533,Eclectic Water Works & Sewer Board,Alabama,"9,477"
AL0000537,Friendship Water Works,Alabama,"4,293"
AL0000540,Holtville Water System,Alabama,"8,385"
AL0000553,West Escambia Utilities Inc.,Alabama,"12,060"
AL0000577,Gadsden Water Works and Sewer Board,Alabama,"44,637"
AL0000588,Rainbow City Utilities Board,Alabama,"11,889"
AL0000591,Southside Water Works,Alabama,"11,535"
AL0000732,"Stevenson (util. Board of The, Town of)",Alabama,"3,969"
AL0000738,Birmingham Water Works Board,Alabama,"585,000"
AL0000751,Irondale Water System,Alabama,"10,098"
AL0000753,Leeds Water Board,Alabama,"21,300"
AL0000761,Trussville Utilities,Alabama,"36,300"
AL0000763,Warrior River Water Authority,Alabama,"37,263"
AL0000783,Florence Water-Wastewater Department,Alabama,"77,766"
AL0000789,Rogersville Water Works & Sewer Board,Alabama,"4,893"
AL0000798,Moulton Water Works Board,Alabama,"8,940"
AL0000801,West Lawrence Water Co-op,Alabama,"14,595"
AL0000804,Auburn Water Works,Alabama,"65,313"
AL0000814,Loachapoka Water Authority,Alabama,"11,649"
AL0000816,Opelika Utilities,Alabama,"43,263"
AL0000820,Smiths Water and Sewer Authority,Alabama,"30,684"
AL0000831,"Swan Creek Community (bsi, LLC)",Alabama,321
AL0000833,Limestone County Water System,Alabama,"65,000"
AL0000865,Star-mindingall Water Authority,Alabama,"1,962"
AL0000870,Tuskegee Utilities Board,Alabama,"12,510"
AL0000878,Harvest-Monrovia Water System,Alabama,"51,912"
AL0000882,Huntsville Utilities,Alabama,"262,155"
AL0000924,Guin Water & Sewer Board,Alabama,"4,416"
AL0000927,Upper Bear Creek Water Authority,Alabama,0
AL0000933,Albertville Utilities Board,Alabama,"33,060"
AL0000935,Asbury Water System,Alabama,"3,786"
AL0000936,Boaz Water and Sewer Board,Alabama,"14,325"
AL0000983,Grand Bay Water Works Board,Alabama,"11,100"
AL0001006,"Mount Vernon, Town of",Alabama,"1,878"
AL0001021,Saraland Water Service,Alabama,"13,827"
AL0001022,Satsuma Water Works,Alabama,"7,248"
AL0001037,U.s. Amines (bucks) Llc,Alabama,80
AL0001047,Frisco City Water System,Alabama,"2,100"
AL0001084,Decatur,Alabama,"77,100"
AL0001092,West Morgan-East Lawrence Water Authority,Alabama,"30,000"
AL0001131,"Wedowee Water, Sewer, & Gas Board",Alabama,"7,782"
AL0001142,Phenix City Utilities,Alabama,"42,267"
AL0001145,Russell County Water Authority,Alabama,"16,800"
AL0001148,Alabaster Water Board,Alabama,"39,474"
AL0001160,Montevallo Water Works & Sewer,Alabama,"9,741"
AL0001171,Wilsonville Water Works,Alabama,"2,391"
AL0001228,Childersburg Water & Sewer  Board,Alabama,"9,603"
AL0001245,"Lincoln, City of",Alabama,"10,218"
AL0001258,Sylacauga Utilities Board,Alabama,"24,087"
AL0001260,City of Talladega Water and Sewer Board,Alabama,"19,284"
AL0001261,Talladega-shelby Water Treatment Plant,Alabama,32
AL0001368,Deer Park-Vinegar Bend Water and Fire Protection A,Alabama,"1,467"
AL0001378,Sycamore Water and Sewer Authority,Alabama,"1,731"
AL0001393,Pine Hill Water Department,Alabama,"2,361"
AL0001403,Arley Water Works,Alabama,"8,673"
AL0001420,Ardmore Water System,Alabama,"3,600"
AL0001422,Northeast Alabama Water System,Alabama,"42,609"
AL0001439,South Marengo Co. Water & Fire Pro Authority,Alabama,"5,610"
AL0001671,Shelby County Water System,Alabama,"35,982"
AL0001780,Five Star Water Supply District,Alabama,100
AL0001805,Coosa Valley Water Supply District,Alabama,25
AS9711948,Central ASG,NA,"45,315"
AZ0403003,Arizona Water Company - Sedona,Arizona,"12,191"
AZ0404008,"Globe, City of",Arizona,"7,396"
AZ0404032,Town of Payson,Arizona,"17,682"
AZ0407046,Liberty Water Lpsco,Arizona,"50,045"
AZ0407094,Goodyear Water Department,Arizona,"50,001"
AZ0407100,City of Tempe,Arizona,"165,000"
AZ0407406,Phoenix International Raceway,Arizona,"4,500"
AZ0408001,Oatman Water Company,Arizona,280
AZ0410051,Flowing Wells Irrigation District,Arizona,"16,000"
AZ0410076,Metropolitan DWID,Arizona,"44,998"
AZ0412011,Liberty Water Rio Rico,Arizona,"16,378"
AZ0413012,Big Park Water Company,Arizona,"7,092"
AZ0413045,City of Prescott,Arizona,"43,217"
CA0105020,Alameda County Fairgrounds,California,82
CA0110001,Alameda County Water District,California,"340,000"
CA0110003,California Water Service - Livermore,California,"56,700"
CA0110008,City of Pleasanton,California,"73,067"
CA0110010,Zone 7 Water Agency,California,40
CA0400151,Keefer Creek Estates Mutual,California,95
CA0400154,Truroots,California,85
CA0410002,Cal-water Service Company - Chico,California,"100,435"
CA0410005,Cal-water Service Company-oroville,California,"9,427"
CA0410008,Thermalito Water & Sewer District,California,"9,513"
CA0706050,Willow Pass Bussiness Park Water System,California,60
CA0707625,Marathon Martinez Water System,California,600
CA0800800,Pine Grove Trailer Park,California,100
CA0900659,Sierra Tahoe Main Lodge,California,"1,940"
CA1010001,Bakman Water Company,California,"8,866"
CA1010003,City of Clovis,California,"103,871"
CA1010007,City of Fresno,California,"522,352"
CA1010057,Fresno City Wastewater Plant,California,190
CA1010339,California State University Fresno,California,"23,000"
CA1110003,Cal-water Service Company-Willows,California,"7,035"
CA1500251,Riverkern Mutual Water Company,California,336
CA1500458,R.s. Mutual Water Company,California,67
CA1500561,Round Mountain Water Company,California,50
CA1510003,California Water Service (CWS) - Bakersfield,California,"246,371"
CA1510031,City of Bakersfield,California,"138,309"
CA1510033,Cal Water Service Co-kernville System,California,"5,286"
CA1510049,Cws - Lakeland,California,686
CA1510055,California Water Service (CWS) - North Garden,California,"24,167"
CA1810003,Lassen County Water District #1,California,320
CA1900018,Livingston-graham Hanson Aggregates,California,60
CA1900035,Iby,California,150
CA1900046,Peter Pitchess Honor Rancho Detention Center,California,"7,000"
CA1900130,Del Rio Mutual,California,700
CA1900679,Rancho Los Amigos Hospital,California,"3,200"
CA1910003,City of Arcadia,California,"57,639"
CA1910004,Golden State Water Company (GSWC) - Artesia,California,"47,978"
CA1910007,Azusa Light and Water,California,"110,000"
CA1910011,"Golden State Water Company (GSWC) - Bell, Bell Gar",California,"57,934"
CA1910013,Bellflower - Somerset MWC,California,"46,000"
CA1910017,Santa Clarita Water Division,California,"120,900"
CA1910018,Bellflower Municipal Water System,California,"5,967"
CA1910019,"Cerritos - City, Water Department",California,"49,041"
CA1910024,Golden State Water Company (GSWC) - Claremont,California,"37,160"
CA1910026,Compton Water Department,California,"81,963"
CA1910028,Crescenta Valley CWD,California,"32,000"
CA1910029,City Of Industry Waterworks Systems,California,"7,000"
CA1910034,Downey Water Department,California,"111,930"
CA1910036,California Water Service Company - East Los Angele,California,"150,446"
CA1910038,El Monte Water Department,California,"22,968"
CA1910039,San Gabriel Valley Water Company- El Monte,California,"226,904"
