pws_id,name,state,population_served
90400090,NA,NA,0
90605013,NA,NA,0
90605163,NA,NA,0
AK2224646,Wasilla Water System,Alaska,"18,222"
AK2310675,North Pole Utilities,Alaska,"2,900"
AK2310683,University of Alaska - Fairbanks,Alaska,"6,200"
AK2310730,Golden Heart Utilities,Alaska,"78,324"
AK2310900,College Utilities Corporation,Alaska,"27,000"
AK2340109,Noorvik Water System,Alaska,600
AL0000029,Daphne,Alabama,"33,372"
AL0000103,Oneonta Utilities Board,Alabama,"19,737"
AL0000154,Jacksonville Utilities,Alabama,"13,809"
AL0000174,East Alabama Water Sewer and Fire Protection Distr,Alabama,"18,000"
AL0000178,Lafayette Water Works,Alabama,"3,774"
AL0000179,Lanett Water Works,Alabama,"8,076"
AL0000237,"Gilbertown (utilities Board of, Town of)",Alabama,"8,157"
AL0000319,"Leighton (wsb of The, Town of)",Alabama,"1,206"
AL0000375,Opp Utilities Board,Alabama,"9,975"
AL0000406,"Hanceville (the Wwsb of The, City of)",Alabama,"5,844"
AL0000416,Ariton Water Works,Alabama,"1,242"
AL0000547,Central Elmore Water Authority,Alabama,"36,900"
AL0000549,Tri Community Water System,Alabama,"11,505"
AL0000578,Glencoe Water Works Board,Alabama,"6,450"
AL0000651,Moundville Water Works,Alabama,"4,404"
AL0000681,Dothan Utilities,Alabama,"93,459"
AL0000713,Bridgeport Utilities Board,Alabama,"5,505"
AL0000728,Section-Dutton Water System,Alabama,"32,949"
AL0000729,Scottsboro Water Works,Alabama,"22,119"
AL0000772,"Sulligent, City of",Alabama,"2,643"
AL0000824,Athens Utilities,Alabama,"27,534"
AL0000885,Madison Water Works,Alabama,"50,000"
AL0000897,Owens Crossroads Water Authority,Alabama,"9,500"
AL0000929,Twin Water Authority,Alabama,804
AL0000934,Arab Water Works Board,Alabama,"34,800"
AL0000943,Guntersville Water Works and Sewer Board,Alabama,"12,612"
AL0000967,South Alabama Utilities Water System,Alabama,"39,249"
AL0001005,Mobile Area Water and Sewer,Alabama,"279,000"
AL0001070,Montgomery Water Works,Alabama,"231,354"
AL0001150,Calera Water Works,Alabama,"23,748"
AL0001163,Pelham Water Works,Alabama,"38,061"
AL0001203,Odenville,Alabama,"23,637"
AL0001204,Pell City Water Works,Alabama,"15,402"
AL0001211,Springville Water Works,Alabama,"6,015"
AL0001247,Munford Water Authority Inc.,Alabama,"4,305"
AL0001748,Jackson County Water Authority,Alabama,"7,299"
AL0001781,"Tate & Lyle Sucralose, Inc. Water System",Alabama,80
AL0001783,Blount County Water,Alabama,"17,400"
AR0000027,Lakeview-midway,Arkansas,"3,372"
AR0000041,Bentonville Water Utilities,Arkansas,"42,343"
AR0000056,Siloam Springs Waterworks,Arkansas,"18,108"
AR0000244,Nashville,Arkansas,"4,687"
AZ0401004,"Eagar, Town of",Arizona,"4,842"
AZ0402010,Bella Vista City Water System,Arizona,"20,045"
AZ0407025,City of Phoenix,Arizona,"1,579,000"
AZ0407090,City of Chandler,Arizona,"247,328"
AZ0407091,City of El Mirage,Arizona,"39,884"
AZ0407092,Town of Gilbert,Arizona,"247,600"
AZ0407101,"Tolleson, City of",Arizona,"6,680"
AZ0407128,Arizona Water Company - White Tanks,Arizona,"10,186"
AZ0408063,Bermuda Water Company Inc,Arizona,"18,000"
AZ0411017,Florence Water Company,Arizona,"15,900"
CA0110005,East Bay Municipal Utility District,California,"1,379,000"
CA0110018,Sfpuc-pleasanton Wells,California,1
CA0710001,City of Antioch,California,"103,833"
CA0710002,Golden State Water Company - Bay Point,California,"22,258"
CA0800552,Northcrest Trailer City,California,250
CA0910001,El Dorado ID - Main,California,"112,000"
CA1000399,Saf-t-cab,California,110
CA1010006,City of Fowler,California,"5,801"
CA1500404,Pinebrook Community Water Well,California,48
CA1500407,Cws-split Mountain Water System,California,600
CA1510015,Oildale MWC,California,"26,000"
CA1710006,Konocti County Water District,California,"4,425"
CA1710010,Lower Lake County Water District,California,"4,102"
CA1900038,Lancaster Park Mobile Home Park,California,53
CA1900154,Tierra Bonita Mutual Water,California,35
CA1910002,Amarillo Mutual Water Company,California,"3,134"
CA1910009,Valley County Water District,California,"70,271"
CA1910041,Three Valleys Municipal Water District,California,0
CA1910043,Glendale Water Department,California,"195,799"
CA1910062,La Verne WD,California,"32,230"
CA1910065,Long Beach Water Department,California,"470,292"
CA1910072,Golden State Water Company (GSWC) -Willowbrook,California,"10,771"
CA1910073,Lomita Water Department,California,"20,256"
CA1910085,Maywood Mutual Water Company #2,California,"7,118"
CA1910102,Palmdale Water District,California,"116,183"
CA1910147,Sativa-L.A. County Water District,California,"6,837"
CA1910156,Beverly Hills Water Department,California,"44,290"
CA1910179,Burbank Water Department,California,"105,543"
CA1910194,Rowland Water District,California,"62,106"
CA1910213,City of Torrance Water Department,California,"145,438"
CA2010012,Hillview Water Co-raymond,California,294
CA2010014,Hillview Water Co-goldside-hil,California,"1,043"
CA2110007,Coast Springs - Cal. Water Service (puc),California,210
CA2600700,Sierra Business Park Owner's Association,California,25
CA2702007,Vierra Estates Ws,California,164
CA2710017,Marina Coast Water District,California,"31,218"
CA2910003,"Truckee-Donner PUD, Main",California,"16,280"
CA3000519,Hynes Estates Mutual Water Company,California,120
CA3010042,South Coast Water District - South Coast,California,"1,000,000"
CA3010069,City of Fountain Valley,California,"56,464"
CA3010079,El Toro Water District,California,"48,628"
CA3301541,Reche Canyon Mutual Water Company,California,150
CA3310006,City of Banning,California,"29,965"
CA3310017,South Mesa Water Company,California,"9,851"
CA3310029,"Perris, City Of",California,"9,000"
CA3310049,Western Municipal Water District,California,"50,823"
CA3310800,California Rehabilitation Center - Norco,California,"5,400"
CA3400190,Imperial Manor Mobilehome Community,California,200
CA3400191,Eleven Oaks Mobile Home Community,California,262
CA3400217,Colonial Estates Mobile Home Park,California,438
CA3400296,Travel Lodge Mobile Home Park,California,350
CA3410002,Sacramento County Water Agency - Arden Park Vista,California,"9,841"
CA3410003,Golden State Water Company - Arden Water Services,California,"5,653"
CA3410008,Elk Grove Water Service,California,"40,461"
CA3410012,Calam - Isleton,California,"1,254"
CA3410015,Golden State Water Company - Cordova,California,"47,810"
CA3410031,California American Water Company - Antelope,California,"34,168"
CA3410047,Calam - Walnut Grove,California,644
CA3600108,Glen Helen Water System,California,"10,000"
CA3600187,Olive Dell Ranch,California,350
CA3600215,San Bernardino County Medical Center,California,"1,000"
CA3601130,Cemex Calif Cement Llc Av,California,100
CA3610004,West Valley Water District,California,"72,647"
CA3610012,City of Chino,California,"18,907"
CA3610013,City of Loma Linda,California,"23,261"
CA3610018,Cucamonga Valley Water District,California,"190,308"
CA3610039,San Bernardino City,California,"188,931"
CA3610044,Dwp - Big Bear Lake/moonridge,California,"5,155"
CA3610064,East Valley Water District,California,"87,000"
CA3702354,Warner Springs Estates,California,345
CA3710014,City of Oceanside,California,"171,183"
CA3710037,Padre Dam Municipal Water District,California,"96,589"
CA3710042,San Diego County Water Authority,California,0
CA3900661,Mapache Trailer Park,California,275
CA3900742,J M Eagle (ws),California,100
CA3901215,San Juan Vista,California,100
CA3901480,Abf Freight Water System,California,25
CA3910004,City of Lodi,California,"63,395"
CA4000225,"Phillips 66 Company, Santa Maria Facilit",California,140
CA4000770,Horizon Lane Water Supply,California,32
CA4000775,Mustang Springs Mutual Water,California,30
CA4000778,Parsons Water Supply,California,30
CA4010010,San Miguel Community Services District,California,"2,336"
CA4010017,Golden State Water Company - Los Osos,California,"8,844"
CA4110013,City of Daly City,California,"102,593"
CA4210010,City of Santa Barbara Water Department,California,"92,371"
CA4210011,Santa Maria Water Department,California,"100,306"
CA4210013,Solvang Water Division,California,"5,292"
CA4210700,Vandenberg Air Force Base,California,"6,763"
CA4300808,O'connor Hospital,California,"2,500"
CA4300833,Santa Clara Valley Medical Center,California,"3,000"
CA4310006,City of Morgan Hill,California,"41,779"
CA4310018,City of Cupertino,California,"14,207"
CA4310020,City of San Jose - EVG/EDV/COY,California,"93,300"
CA4400558,San Andreas Mutual Water Company,California,350
CA4410013,Scotts Valley Water District,California,"10,509"
CA4500303,Tucker Oaks East Water District,California,105
CA4500333,Airport Planet Water,California,116
CA4700542,Abrams Lake Mobile Estates,California,135
CA4810003,City of Fairfield,California,"100,147"
CA4900797,North Star Mobile Home Park,California,75
CA4910007,"Sea Ranch Water Company,the (puc)",California,"3,027"
CA4910012,City of Sonoma,California,"10,807"
CA4910020,Sonoma County Water Agency,California,500
