feature,description,Legal Description,USGS Basin & Sub-watershed No.,Application Rate Basis,Vegetation Type,Equipment Type,"Field Slope, Maximum",Application Area,permit,longitude,latitude
PERMITTED FEATURE #001,Land Application Field BR-3-2;,"NW¼, Sec.18, T23N, R27W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,21 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.88814528119529,36.71066673587911
PERMITTED FEATURE #002,Land Application Field BR-3-3;,"NW¼, Sec.18, T23N, R27W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.8891233267949,36.71101100226614
PERMITTED FEATURE #003,Land Application Field BR-3-6;,"NW¼, Sec.7, T23N, R27W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,100 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.89702538032283,36.72715985766707
PERMITTED FEATURE #004,Land Application Field BR-3-7;,"NW¼, Sec.10, T23N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,87 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.89702548516892,36.72716887140374
PERMITTED FEATURE #005,Land Application Field BR-3-8;,"SW¼, Sec.15, T23N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,31 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.9402640005383,36.703316262330894
PERMITTED FEATURE #006,Land Application Field BR-3-9;,"NE¼, Sec.31, T23N, R27W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,18.5 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.88881108704723,36.66832925889102
PERMITTED FEATURE #007,Land Application Field BR-3-10;,"NE¼, Sec.16, T22N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,85 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.96658247461475,36.627148735079906
PERMITTED FEATURE #008,Land Application Field BR-3-11;,"NE¼, Sec.1, T22N, R29W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,191 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-94.01396299846891,36.64542408667247
PERMITTED FEATURE #009,Land Application Field BR-3-12;,"NE¼, Sec.16, T22N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.96979483528173,36.62199330804311
PERMITTED FEATURE #010,Land Application Field BR-3-13;,"NW¼, Sec.16, T22N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,40 total available acres,mo0140244-synagro-sw-missouri-land-application-program-20240214-draft-pn-barry-cw,-93.97234447481543,36.621089094043604
