feature,description,Legal Description,USGS Basin & Sub-watershed No.,Application Rate Basis,Vegetation Type,Equipment Type,"Field Slope, Maximum",Application Area,longitude,latitude
PERMITTED FEATURE #001,Land Application Field CM-1;,"Sec.10, T21N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,56.2 total available acres,-93.94659454590901,36.54827737936489
PERMITTED FEATURE #002,Land Application Field CM-2;,"Sec.10, T21N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,41.9 total available acres,-93.94727824778869,36.544792253503175
PERMITTED FEATURE #003,Land Application Field CM-3;,"Sec.10, T21N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,35.8 total available acres,-93.95376794335945,36.54558790793986
PERMITTED FEATURE #004,Land Application Field CM-4;,"Sec.10, T21N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,15.1 total available acres,-93.94366862091186,36.54195417965476
PERMITTED FEATURE #005,Land Application Field DB-1;,"Sec.24, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,18.3 total available acres,-93.94289953906494,37.1268103112413
PERMITTED FEATURE #006,Land Application Field DB-2;,"Sec.24, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,64.4 total available acres,-93.93954330079559,37.12759412788287
PERMITTED FEATURE #007,Land Application Field DB-3;,"Sec.24, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,48.5 total available acres,-93.93301716427113,37.13060223512948
PERMITTED FEATURE #008,Land Application Field DB-4;,"Sec.17/18, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,46.9 total available acres,-94.02000365980378,37.13543815645267
PERMITTED FEATURE #009,Land Application Field DB-5;,"Sec.19, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37.7 total available acres,-94.02365290882898,37.13220678624858
PERMITTED FEATURE #010,Land Application Field DB-6;,"Sec.19, T28N, R28W, Barry County",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,64.9 total available acres,-94.0251404122473,37.12897599146543
