feature,description,Legal Description,UTM Coordinates (Centroid),USGS Basin & Sub-watershed No.,Application Rate Basis,Vegetation Type,Equipment Type,"Field Slope, Maximum",Application Area
PERMITTED FEATURE #001,Land Application Field BR-3-2;,"NW¼, Sec.18, T23N, R27W, Barry County","X = 420677, Y = 4063144",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,21 total available acres
PERMITTED FEATURE #002,Land Application Field BR-3-3;,"NW¼, Sec.18, T23N, R27W, Barry County","X = 420590, Y = 4063183",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37 total available acres
PERMITTED FEATURE #003,Land Application Field BR-3-6;,"NW¼, Sec.7, T23N, R27W, Barry County","X = 419901, Y = 4064981",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,100 total available acres
PERMITTED FEATURE #004,Land Application Field BR-3-7;,"NW¼, Sec.10, T23N, R28W, Barry County","X = 419901, Y = 4064982",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,87 total available acres
PERMITTED FEATURE #005,Land Application Field BR-3-8;,"SW¼, Sec.15, T23N, R28W, Barry County","X = 416014, Y = 4062373",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,31 total available acres
PERMITTED FEATURE #006,Land Application Field BR-3-9;,"NE¼, Sec.31, T23N, R27W, Barry County","X = 420574, Y = 4058448",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,18.5 total available acres
PERMITTED FEATURE #007,Land Application Field BR-3-10;,"NE¼, Sec.16, T22N, R28W, Barry County","X = 413578, Y = 4053947",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,85 total available acres
PERMITTED FEATURE #008,Land Application Field BR-3-11;,"NE¼, Sec.1, T22N, R29W, Barry County","X = 409363, Y = 4056018",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,191 total available acres
PERMITTED FEATURE #009,Land Application Field BR-3-12;,"NE¼, Sec.16, T22N, R28W, Barry County","X = 413285, Y = 4053378",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37 total available acres
PERMITTED FEATURE #010,Land Application Field BR-3-13;,"NW¼, Sec.16, T22N, R28W, Barry County","X = 413056, Y = 4053280",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,40 total available acres
