feature,description,Legal Description,UTM Coordinates (Centroid),USGS Basin & Sub-watershed No.,Application Rate Basis,Vegetation Type,Equipment Type,"Field Slope, Maximum",Application Area,permit
PERMITTED FEATURE #001,Land Application Field CM-1;,"Sec.10, T21N, R28W, Barry County","X = 415279, Y = 4045180",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,56.2 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #002,Land Application Field CM-2;,"Sec.10, T21N, R28W, Barry County","X = 415214, Y = 4044794",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,41.9 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #003,Land Application Field CM-3;,"Sec.10, T21N, R28W, Barry County","X = 414634, Y = 4044888",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,35.8 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #004,Land Application Field CM-4;,"Sec.10, T21N, R28W, Barry County","X = 415534, Y = 4044476",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,15.1 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #005,Land Application Field DB-1;,"Sec.24, T28N, R28W, Barry County","X = 416243, Y = 4109356",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,18.3 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #006,Land Application Field DB-2;,"Sec.24, T28N, R28W, Barry County","X = 416542, Y = 4109440",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,64.4 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #007,Land Application Field DB-3;,"Sec.24, T28N, R28W, Barry County","X = 417125, Y = 4109768",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,48.5 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #008,Land Application Field DB-4;,"Sec.17/18, T28N, R28W, Barry County","X = 409404, Y = 4110384",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,46.9 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #009,Land Application Field DB-5;,"Sec.19, T28N, R28W, Barry County","X = 409076, Y = 4110029",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,37.7 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
PERMITTED FEATURE #010,Land Application Field DB-6;,"Sec.19, T28N, R28W, Barry County","X = 408940, Y = 4109672",(11010001-0805),Hydraulic/ Nutrient/ Pollutant Loading,"Grass/Pasture/Crop: barley, soybeans, corn, oats, ryegrass, sorghum, wheat, mixed grass",Tractor and buggy with plows or splash plates / sprinklers / traveling gun,12%,64.9 total available acres,mo0140490-hydroag-environmental-llc-20240214-draft-pn-barry-cw
